,Unnamed: 0,Unnamed: 1,Unnamed: 2,Missing values,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
0,,,,15-16,,16-17,,,17-18,,,18-19,,,,,
1,Variable name,Source,Type,3º,6º,3º,6º,4º,3º,6º,4º,6º,4º,Sensitive attribute,Important feature,Transformed variable,Description
2,id_student,Identifiers,ID,0,0,0,0,0,0,0,0,0,0,--,--,--,Student identifier
3,id_student_original,Identifiers,ID,0.01341165,0.01709237,0.00062461,0.00061786,0,0.00121581,0.00121175,0,0.00836061,0,--,--,--,"Original student ID in the ACCUEE database. IDs might be repeated between years. Missing IDs are because the student questionnaire is missing, but principals, family or teacher questionnaires are available"
4,id_year,Identifiers,ID,0,0,0,0,0,0,0,0,0,0,--,--,--,Academic year
5,id_grade,Identifiers,ID,0,0,0,0,0,0,0,0,0,0,--,--,--,"Grade/level of education. Missing values are because the student questionnaire is missing, but principals, family or teacher questionnaires are available"
6,id_class_group,Identifiers,ID,0.24204601,0.22418039,0.06527171,0.08063021,0.06417625,0.04650456,0.05634656,0.05621392,0.08949887,0.06132629,--,--,--,Class group
7,id_school,Identifiers,ID,0.00107685,0.00478007,0.0003123,0.00185357,0.06417625,0.00607903,0.00151469,0.05621392,0.00377739,0.06132629,--,--,--,School identifier
8,id_student_16_19,Identifiers,ID,0.14356339,1,1,1,1,1,1,1,0.11830773,1,--,--,--,Panel data information. Identifies the same student in third grade (15-16 academic year) and sixth grade (18-19 academic year)
9,id_school_16_19,Identifiers,ID,0.10562898,0.09019362,1,1,1,1,1,1,0.09982372,0.79166667,--,--,--,Panel data information. Identifies the same school in third grade (15-16 academic year) and sixth grade (18-19 academic year)
10,student_questionnaire,Info,Info,--,--,--,--,--,--,--,--,--,--,--,--,--,Identifies if the information of the student questionnaire is available
11,principals_questionnaire,Info,Info,--,--,--,--,--,--,--,--,--,--,--,--,--,Identifies if the information of the principals questionnaire is available
12,family_questionnaire,Info,Info,--,--,--,--,--,--,--,--,--,--,--,--,--,Identifies if the information of the family questionnaire is available
13,teachers_questionnaire,Info,Info,--,--,--,--,--,--,--,--,--,--,--,--,--,Identifies if the information of the teachers questionnaire is available
14,census,Info,Info,--,--,--,--,--,--,--,--,--,--,--,--,--,Identifies census (1) observations vs sample (0) observations
15,scores,Info,Info,--,--,--,--,--,--,--,--,--,--,--,--,--,Identifies if the information of the student scores is available
16,score_MAT,Student scores,Continuous,0.08179148,0.10028487,0.0193629,0.02625888,0.20019157,0.04285714,0.02817328,0.23488301,0.04497608,0.26085681,Yes,Yes,No,Score in Mathematics
17,level_MAT,Student scores,Categorical,0.08179148,0.10028487,0.0193629,0.02625888,0.20019157,0.04285714,0.02817328,0.23488301,0.04497608,0.26085681,Yes,Yes,No,Proficiency levels in Mathematics
18,score_LEN,Student scores,Continuous,0.080372,0.09487712,0.02061212,0.02811245,0.07790549,0.04012158,0.0212057,0.06381039,0.0452279,0.09242958,Yes,Yes,No,Score in Spanish Language
19,level_LEN,Student scores,Categorical,0.080372,0.09487712,0.02061212,0.02811245,0.07790549,0.04012158,0.0212057,0.06381039,0.0452279,0.09242958,Yes,Yes,No,Proficiency levels in Spanish Language
20,score_ING,Student scores,Continuous,1,0.09647047,1,0.03521779,0.12132822,1,0.02453802,0.09358857,0.04417023,0.11766432,Yes,Yes,No,Score in English
21,level_ING,Student scores,Categorical,1,0.09647047,1,0.03521779,0.12132822,1,0.02453802,0.09358857,0.04417023,0.11766432,Yes,Yes,No,Proficiency levels in English
22,a1,Student questionnaire,Categorical,0.14796867,0.99719956,0.06589631,0.081557,0.06449553,0.04772036,0.05786125,0.05621392,0.01052632,0.00234742,Yes,Yes,No,Sex
