,Variable,Value,Label
0,a1,1,Boy
1,,2,Girl
2,a2,1999 to 2009,Years
3,a3a,1,Yes
4,,2,no
5,a3b,1,Yes
6,,2,no
7,living_with_father_mother,1,Yes
8,,2,no
9,a3c,1,Yes
10,,2,no
11,a3d,1,Yes
12,,2,no
13,a3et,1,Yes
14,,2,no
15,a3f,1,Yes
16,a4,1,No
17,,2,"Yes, one time"
18,,3,"Yes, two times"
19,repeater,1,Non repeater
20,,2,Repeater one or more time
21,a5,1,Once per week
22,,2,Once every two weeks
23,,3,Once per month
24,,4,Never/almost never
25,a6nm,0 a 120,Minuts per day
26,a7,0 to 5,Days per week
27,a8a,1,Never/almost never
28,,2,Sometimes
29,,3,Often
30,,4,Every/nearly every day
31,a8b,1,Never/almost never
32,,2,Sometimes
33,,3,Often
34,,4,Every/nearly every day
35,a8c,1,Never/almost never
36,,2,Sometimes
37,,3,Often
38,,4,Every/nearly every day
39,a09a,1,Never/almost never
40,,2,In some classes
41,,3,In almost all classes
42,,4,In all classes
43,a09b,1,Never/almost never
44,,2,In some classes
45,,3,In almost all classes
46,,4,In all classes
47,a09c,1,Never/almost never
48,,2,In some classes
49,,3,In almost all classes
50,,4,In all classes
51,a09d,1,Never/almost never
52,,2,In some classes
53,,3,In almost all classes
54,,4,In all classes
55,a09e,1,Never/almost never
56,,2,In some classes
57,,3,In almost all classes
58,,4,In all classes
59,a9a,1,Never/almost never
60,,2,Once or twice per month
61,,3,Once or twice per week
62,,4,Every/nearly every day
63,a9b,1,Never/almost never
64,,2,Once or twice per month
65,,3,Once or twice per week
66,,4,Every/nearly every day
67,a9c,1,Never/almost never
68,,2,Once or twice per month
69,,3,Once or twice per week
70,,4,Every/nearly every day
71,a9d,1,Never/almost never
72,,2,Once or twice per month
73,,3,Once or twice per week
74,,4,Every/nearly every day
75,a9e,1,Never/almost never
76,,2,Once or twice per month
77,,3,Once or twice per week
78,,4,Every/nearly every day
79,a9f,1,Never/almost never
80,,2,Once or twice per month
81,,3,Once or twice per week
82,,4,Every/nearly every day
83,a9g,1,Never/almost never
84,,2,Once or twice per month
85,,3,Once or twice per week
86,,4,Every/nearly every day
87,a10a,1,Never/almost never
88,,2,Sometimes
89,,3,Almost always
90,,4,Always
91,a10b,1,Never/almost never
92,,2,Sometimes
93,,3,Almost always
94,,4,Always
95,a10c,1,Never/almost never
96,,2,Sometimes
97,,3,Almost always
98,,4,Always
99,a10d,1,Never/almost never
100,,2,Sometimes
101,,3,Almost always
102,,4,Always
103,a10e,1,Never/almost never
104,,2,Sometimes
105,,3,Almost always
106,,4,Always
